2021/3/23 18:00,0,13.1,1.7,Southwest,///,///,///
2021/3/23 19:00,0,9.3,1.8,South-southwest,///,///,///
2021/3/23 20:00,0,8.2,1.2,South-southeast,///,///,///
2021/3/23 21:00,0,7.2,2,East,///,///,///
2021/3/23 22:00,0,6.9,1.7,East,///,///,///
2021/3/23 23:00,0,4.7,2.5,East-northeast,///,///,///
2021/3/23 24:00,0,4.5,1.3,East,///,///,///
2021/3/24 1:00,0,5.9,2.3,East-northeast,///,///,///
2021/3/24 2:00,0,5.4,2.2,East-northeast,///,///,///
2021/3/24 3:00,0,5.8,0.9,Southeast,///,///,///
2021/3/24 4:00,0,5.1,2.1,East-northeast,///,///,///
2021/3/24 5:00,0,5.1,3.3,East-northeast,///,///,///
2021/3/24 6:00,0,5.2,3.4,East-northeast,///,///,///
2021/3/24 7:00,0,5.5,1,East,///,///,///
2021/3/24 8:00,0,9.2,0.1,Quiet,///,///,///
2021/3/24 9:00,0,12.4,1,East-northeast,///,///,///
2021/3/24 10:00,0,14.4,2.3,Southwest,///,///,///
2021/3/24 11:00,0,15,1.8,West-northwest,///,///,///
2021/3/24 12:00,0,15.8,3.1,South,///,///,///
2021/3/24 13:00,0,17.3,2.8,Southwest,///,///,///
2021/3/24 14:00,0,17,1.9,Southwest,///,///,///
2021/3/24 15:00,0,17.5,2,Southwest,///,///,///
2021/3/24 16:00,0,17.9,3.4,West,///,///,///
2021/3/24 17:00,0,17.2,2.2,Southwest,///,///,///
2021/3/24 18:00,0,15.9,0.6,Northwest,///,///,///
2021/3/24 19:00,0,15.6,1,Southeast,///,///,///
2021/3/24 20:00,0,14,2.6,East-northeast,///,///,///
2021/3/24 21:00,0,13.8,2.9,Northeast,///,///,///
2021/3/24 22:00,0,13.1,1.9,South-southwest,///,///,///
2021/3/24 23:00,0,12.4,0.9,North,///,///,///
2021/3/24 24:00,0,12.8,1.5,Southeast,///,///,///
2021/3/25 1:00,0,12.2,0.7,West-northwest,///,///,///
2021/3/25 2:00,0,11,0.9,South-southeast,///,///,///
2021/3/25 3:00,0,11.2,1,East-northeast,///,///,///
2021/3/25 4:00,0,10.9,1.5,East-northeast,///,///,///
2021/3/25 5:00,0,10.9,1.3,East-northeast,///,///,///
2021/3/25 6:00,0,11.1,1.5,North-northeast,///,///,///
2021/3/25 7:00,0,11.6,1.2,Northeast,///,///,///
2021/3/25 8:00,0,12.4,0.6,South-southeast,///,///,///
2021/3/25 9:00,0,12.8,0.4,South,///,///,///
2021/3/25 10:00,0,16.2,1.4,South-southeast,///,///,///
2021/3/25 11:00,0,18,1.6,North-northwest,///,///,///
2021/3/25 12:00,0,19.3,3.1,West-northwest,///,///,///
2021/3/25 13:00,0,20.1,1.7,West-southwest,///,///,///
2021/3/25 14:00,0,21.6,4.3,West-southwest,///,///,///
2021/3/25 15:00,0,21.1,4.1,South-southwest,///,///,///
2021/3/25 16:00,0,21.3,2.7,North-northwest,///,///,///
2021/3/25 17:00,0,20.8,3.5,North-northwest,///,///,///
2021/3/25 18:00,0,19,3.6,Northwest,///,///,///
2021/3/25 19:00,0,16.8,2.4,Northwest,///,///,///
2021/3/25 20:00,0,12.8,1,West-southwest,///,///,///
2021/3/25 21:00,0,13.5,1.4,West,///,///,///
2021/3/25 22:00,0,9.2,0.7,East,///,///,///
2021/3/25 23:00,0,9.7,2.1,East-northeast,///,///,///
2021/3/25 24:00,0,8.7,0.2,Quiet,///,///,///
2021/3/26 1:00,0,9.3,1,Northwest,///,///,///
2021/3/26 2:00,0,7.7,2.4,East-northeast,///,///,///
